ID;Date;Island;Egg_number;Incub_start;Hatching
48;2023-06-19;Серебрянка;4;2023-05-25;2023-06-19
72;2023-06-19;Серебрянка;6;2023-05-25;2023-06-19
52;2023-06-19;Серебрянка;7;2023-05-27;2023-06-21
55;2023-06-19;Серебрянка;3;2023-05-27;2023-06-21
56;2023-06-19;Серебрянка;1;2023-05-29;2023-06-23
7;2023-06-19;Высокая;5;2023-05-29;2023-06-23
53;2023-06-19;Серебрянка;10;2023-05-29;2023-06-23
51;2023-06-19;Серебрянка;3;2023-05-30;2023-06-24
44;2023-06-19;Серебрянка;4;2023-05-31;2023-06-25
59;2023-06-19;Серебрянка;3;2023-05-31;2023-06-25
54;2023-06-19;Серебрянка;5;2023-06-01;2023-06-26
57;2023-06-19;Серебрянка;3;2023-06-03;2023-06-28
65;2023-06-19;Серебрянка;3;2023-06-03;2023-06-28
34;2023-06-19;Серебрянка;3;2023-06-04;2023-06-29
47;2023-06-19;Серебрянка;3;2023-06-04;2023-06-29
31;2023-06-19;Серебрянка;3;2023-06-05;2023-06-30
3;2023-06-19;Высокая;4;2023-06-05;2023-06-30
33;2023-06-19;Серебрянка;3;2023-06-08;2023-07-03
37;2023-06-19;Серебрянка;4;2023-06-09;2023-07-04
49;2023-06-19;Серебрянка;3;2023-06-09;2023-07-04
6;2023-06-19;Высокая;4;2023-06-09;2023-07-04
8;2023-06-19;Высокая;6;2023-06-09;2023-07-04
28;2023-06-19;Серебрянка;5;2023-06-09;2023-07-04
45;2023-06-19;Серебрянка;5;2023-06-09;2023-07-04
4;2023-06-19;Высокая;4;2023-06-10;2023-07-05
5;2023-06-19;Высокая;2;2023-06-10;2023-07-05
12;2023-06-19;Высокая;3;2023-06-10;2023-07-05
13;2023-06-19;Высокая;3;2023-06-10;2023-07-05
16;2023-06-19;Высокая;5;2023-06-10;2023-07-05
21;2023-06-19;Высокая;6;2023-06-10;2023-07-05
22;2023-06-19;Высокая;5;2023-06-10;2023-07-05
23;2023-06-19;Высокая;3;2023-06-10;2023-07-05
27;2023-06-19;Серебрянка;5;2023-06-10;2023-07-05
32;2023-06-19;Серебрянка;4;2023-06-10;2023-07-05
35;2023-06-19;Серебрянка;3;2023-06-10;2023-07-05
36;2023-06-19;Серебрянка;3;2023-06-10;2023-07-05
43;2023-06-19;Серебрянка;3;2023-06-10;2023-07-05
46;2023-06-19;Серебрянка;5;2023-06-10;2023-07-05
64;2023-06-19;Серебрянка;5;2023-06-10;2023-07-05
69;2023-06-19;Серебрянка;4;2023-06-10;2023-07-05
71;2023-06-19;Серебрянка;5;2023-06-10;2023-07-05
74;2023-06-19;Серебрянка;3;2023-06-10;2023-07-05
1;2023-06-19;Высокая;4;2023-06-10;2023-07-05
58;2023-06-19;Серебрянка;4;2023-06-11;2023-07-06
60;2023-06-19;Серебрянка;5;2023-06-11;2023-07-06
2;2023-06-19;Высокая;3;2023-06-12;2023-07-07
11;2023-06-19;Высокая;1;2023-06-12;2023-07-07
14;2023-06-19;Высокая;5;2023-06-12;2023-07-07
15;2023-06-19;Высокая;4;2023-06-12;2023-07-07
17;2023-06-19;Высокая;4;2023-06-12;2023-07-07
18;2023-06-19;Высокая;3;2023-06-12;2023-07-07
39;2023-06-19;Серебрянка;4;2023-06-12;2023-07-07
50;2023-06-19;Серебрянка;4;2023-06-12;2023-07-07
61;2023-06-19;Серебрянка;5;2023-06-12;2023-07-07
63;2023-06-19;Серебрянка;4;2023-06-12;2023-07-07
68;2023-06-19;Серебрянка;4;2023-06-12;2023-07-07
70;2023-06-19;Серебрянка;3;2023-06-12;2023-07-07
75;2023-06-19;Серебрянка;4;2023-06-12;2023-07-07
9;2023-06-19;Высокая;5;2023-06-12;2023-07-07
66;2023-06-19;Серебрянка;5;2023-06-12;2023-07-07
10;2023-06-19;Высокая;5;2023-06-13;2023-07-08
19;2023-06-19;Высокая;5;2023-06-14;2023-07-09
25;2023-06-19;Серебрянка;3;2023-06-14;2023-07-09
40;2023-06-19;Серебрянка;4;2023-06-14;2023-07-09
42;2023-06-19;Серебрянка;7;2023-06-14;2023-07-09
62;2023-06-19;Серебрянка;4;2023-06-16;2023-07-11
73;2023-06-19;Серебрянка;4;2023-06-16;2023-07-11
29;2023-06-19;Серебрянка;4;2023-06-16;2023-07-11
20;2023-06-19;Высокая;5;2023-06-19;2023-07-14
24;2023-06-19;Высокая;5;2023-06-19;2023-07-14
30;2023-06-19;Серебрянка;1;2023-06-19;2023-07-14
38;2023-06-19;Серебрянка;4;2023-06-19;2023-07-14
41;2023-06-19;Серебрянка;3;2023-06-19;2023-07-14
67;2023-06-19;Серебрянка;4;2023-06-19;2023-07-14
26;2023-06-19;Серебрянка;4;2023-06-20;2023-07-15
