ID;Angle_1;Angle_2;Angle_3;Diameter_1;Diameter_2;Diameter_3
48;NA;NA;NA;NA;пт;NA
72;NA;NA;NA;пт;NA;NA
52;NA;NA;NA;накл;NA;NA
55;NA;NA;NA;накл;NA;NA
56;NA;NA;NA;38;NA;NA
7;NA;NA;NA;36;38;39
53;NA;NA;NA;35;38;40
51;NA;NA;NA;34;35;37
44;32;34;36;NA;NA;NA
59;NA;NA;NA;31;32;35
54;NA;NA;NA;27;31;33
57;NA;NA;NA;28;24;25
65;NA;NA;NA;25;28;24
34;NA;NA;NA;26;25;22
47;NA;NA;NA;25;20;24
31;NA;NA;NA;21;22;18
3;NA;NA;NA;20;18;21
33;90;взв;NA;NA;NA;18
37;взв;взв;взв;NA;NA;NA
49;взв;взв;90;NA;NA;NA
6;взв;90;90;NA;NA;NA
8;взв;90;90;NA;NA;NA
28;90;90;взв;NA;NA;NA
45;взв;90;90;NA;NA;NA
4;90;90;90;NA;NA;NA
5;90;90;NA;NA;NA;NA
12;90;NA;NA;NA;NA;NA
13;90;NA;NA;NA;NA;NA
16;90;NA;NA;NA;NA;NA
21;90;NA;NA;NA;NA;NA
22;90;90;90;NA;NA;NA
23;90;90;NA;NA;NA;NA
27;90;90;90;NA;NA;NA
32;90;90;90;NA;NA;NA
35;90;90;90;NA;NA;NA
36;90;90;90;NA;NA;NA
43;90;90;90;NA;NA;NA
46;90;90;90;NA;NA;NA
64;90;90;90;NA;NA;NA
69;90;90;90;NA;NA;NA
71;90;90;90;NA;NA;NA
74;90;90;90;NA;NA;NA
1;90;90;75;NA;NA;NA
58;45;взв;90;NA;NA;NA
60;90;90;60;NA;NA;NA
2;75;75;75;NA;NA;NA
11;75;NA;NA;NA;NA;NA
14;75;NA;NA;NA;NA;NA
15;75;NA;NA;NA;NA;NA
17;75;NA;NA;NA;NA;NA
18;75;NA;NA;NA;NA;NA
39;75;75;75;NA;NA;NA
50;75;75;75;NA;NA;NA
61;75;75;75;NA;NA;NA
63;75;75;75;NA;NA;NA
68;75;75;75;NA;NA;NA
70;75;75;75;NA;NA;NA
75;75;75;75;NA;NA;NA
9;75;75;60;NA;NA;NA
66;90;45;45;NA;NA;NA
10;60;60;NA;NA;NA;NA
19;45;NA;NA;NA;NA;NA
25;45;45;45;NA;NA;NA
40;30;60;60;NA;NA;NA
42;45;45;45;NA;NA;NA
62;30;30;30;NA;NA;NA
73;0;45;45;NA;NA;NA
29;45;20;20;NA;NA;NA
20;15;NA;NA;NA;NA;NA
24;15;NA;NA;NA;NA;NA
30;15;NA;NA;NA;NA;NA
38;15;15;15;NA;NA;NA
41;15;15;15;NA;NA;NA
67;15;15;15;NA;NA;NA
26;0;0;0;NA;NA;NA
